Name,Metal,Wood,Water,Fire,Earth,None,Heavy1,Heavy2,Light1,Light2,LowDensity1,LowDensity2,HighDensity1,HighDensity2,Soft1,Soft2,Hard1,Hard2,Smooth1,Smooth2,Rough1,Rough2,Sharp,Blunt,Elastic,Precise,SmallThing,Gravel,Liquid,GreatThing_AttackLow,GreatThing_Attack,GreatThing_Ling,GreatThing_Knock,GreatThing_Rot,GreatThing_Fly,Shit,GreatThing_Ling_JinLian,GreatThing_Attack_TianLang
Bow,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Blade,x,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Spear,x,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,
Sword,x,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Mace,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Chakram,x,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Timber Axe,x,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Pickaxe,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Farming Tool,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Acupuncture Needle,x,x,x,x,x,x,,,,x,,,,,,,,,,x,,,x,,,,x,,,,,,,,,,,
Fishing Rod,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracelet,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Fly-Whisk,x,x,x,x,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,
Sword of Tao,x,x,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,
Dice,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Bell,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Bracelet,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Handkerchief,,x,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Scented Sachet,,x,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Vessel,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scraper,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Cloth Gauntlet,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Facemask,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Umbrella,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Nimbus Plate,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
