Name,Metal,Wood,Water,Fire,Earth,None,Heavy1,Heavy2,Light1,Light2,LowDensity1,LowDensity2,HighDensity1,HighDensity2,Soft1,Soft2,Hard1,Hard2,Smooth1,Smooth2,Rough1,Rough2,Sharp,Blunt,Elastic,Precise,SmallThing,Gravel,Liquid,GreatThing_AttackLow,GreatThing_Attack,GreatThing_Ling,GreatThing_Knock,GreatThing_Rot,GreatThing_Fly,Shit,GreatThing_Ling_JinLian,GreatThing_Attack_TianLang
Iron Ore,x,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Igneocopper Ore,,,,x,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Ice Crystal Ore,,,x,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Darksteel Ore,x,,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,
Lumina Core,x,,,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,
Cotton,,x,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Brownstone,,,,,x,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Graystone,,,,,x,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Marble,,,,,x,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Jade,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Jade Essence,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Stone Essence,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Holy Stone,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Divine Jade,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,
Spirit Stone,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Spirit Crystal,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
Wood,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Goldwood,,x,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Phoenixwood,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
Spiritwood,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,
Bamboo Stalk,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Iron Bar,x,,,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
Igneocopper Bar,,,,x,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,
Ice Crystal Bar,,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
Fire Essence Bar,,,,x,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,
Ice Essence Bar,,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
Darksteel Bar,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Lumina Core Bar,x,,,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,
Brownstone Block,,,,,x,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Graystone Block,,,,,x,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Marble Block,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Jade Block,,,,,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Holy Stone Block,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Spirit Stone Block,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Spirit Crystal Block,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
Timber,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Goldwood Timber,,x,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Parasol Timber,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
Spiritwood Timber,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,
Patterned Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Indigo Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Purple Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Yellow Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Blue Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Red Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
White Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Black Fabric,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
